
03:04; temperature; -20
03:04; wind_spped; 2
03:04; pressure; 726
03:04; temperature; -6
03:04; wind_spped; 5
03:04; pressure; 743
03:16; temperature; -20
03:16; wind_spped; 6
03:16; pressure; 750
03:16; temperature; -7
03:16; wind_spped; 27
03:16; pressure; 746
03:18; temperature; -6
03:18; wind_spped; 6
03:18; pressure; 736
03:18; temperature; -8
03:18; wind_spped; 17
03:18; pressure; 720
03:32; temperature; -11
03:32; wind_spped; 6
03:32; pressure; 728
03:32; temperature; -10
03:32; wind_spped; 9
03:32; pressure; 734
